S.no,Maker,ELECTRIC(3-Wheeler)
1,3EV INDUSTRIES PVT LTD,285
2,3S INDUSTRIES,17
3,A3T INCORPORTED,6
4,AADHYA ENTERPRISES,112
5,AADITYA GARBAGE PRODUCTS PVT LTD,2
6,AAHANA COMMERCE PVT LTD,92
7,AARGEE ELECTRIC,13
8,ACCRETION POWER AUTOS,272
9,ADAPT MOTORS PVT LTD,1
10,ADIDEV TECHNOA PVT LTD,46
11,ADITYA SAI INDUSTRIES,61
12,AGRAWAL RENEWABLE ENERGY PVT LTD,1
13,AJAY MOTORS PRIVATE LIMITED,2
14,A K AUTTO ELECTRICAL,3
15,A K GUPTA & CO.,183
16,ALBEDO VISION PVT LTD,10
17,ALLFINE INDUSTRIES PVT LTD,"2,492"
18,ALTIER ELECTRIC VEHICLES PVT LTD,559
19,ALTIGREEN PROPULSION LABS PVT LTD,131
20,ALTIUS TECHNOLOGIES,9
21,AMAN AUTOMOBILES,25
22,AMAN ELECTRICAL VEHICLES,17
23,AMBIKA ENTERPRISES,44
24,AMBIKA INDUSTRIES,617
25,ANJALI AUTO COMPONENTS,17
26,ANJALI TRADERS,54
27,ANKUSH AUTO DEALS,2
28,APARNA INDUSTRIES,49
29,A P I MOTORS PVT LTD,34
30,APM AUTO SALES,162
31,APSARA ENTERPRISE,236
32,ARCHIT ENTERPRISES,285
33,ARD EXIM,10
34,ARMAN GREEN VEHICLES PVT LTD,6
35,ARNA ELECTRIC AUTO PVT LTD,183
36,ARROW AUTOMOTIVE,"1,207"
37,ASHA IMPEX,18
38,ATTOLENT AUTO GROUP PVT LTD,174
39,ATUL AUTO LTD,"1,113"
40,ATUT SANGAM,337
41,AUTOHAUS PRIVATE LIMITED,381
42,AUTOLITE (INDIA) LIMITED,34
43,A.V.AUTOMOTIVES PVT LTD,579
44,AVL ELECTRIC VEHICLES,598
45,AVON CYCLES LTD,333
46,BABA E-VEHICLES,50
47,BAGHWAN RIKSHAW UDYOG,3
48,BAJAJ IMPLEMENTS PVT. LTD,120
49,BALAN ENGINEERING PVT LTD,42
50,BAL GOPAL WHEELS PVT LTD,27
51,BALI AUTO INDUSTRIES,210
52,BENTINCK INDUSTRIES PVT. LTD.,66
53,BEST WAY AGENCIES PVT LTD,"4,083"
54,BESTWAY AGENCIES PVT LTD,1
55,BESTWAY BANARASH,7
56,BHADAURIA ENTERPRISES,7
57,BHAVE ELECTRIC VEHICLES PVT LTD,561
58,BHM INDUSTRIES,419
59,BIG BULL TRADER PVT LTD,169
60,BIJNOR ENTERPRISES,7
61,BRIGHT AUTOZONE PVT LTD,"1,994"
62,BRIGHT METAL WORKS,2
63,CART INDIA,2
64,CEEON INDIA,91
65,CELLETRON MOTOR WORKS,6
66,CHAMPION POLY PLAST,"6,245"
67,CHARUVIKRAM AUTOMOBILE PVT LTD,5
68,CHAUHAN AUTO INDUSTRIES,167
69,CHEHAK BATTERIES,80
70,CITADEL ENTERPRISES(OPC) PVT LTD,19
71,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,414
72,C M OVERSEAS,15
73,CONTINENTAL ENGINES PVT LTD,104
74,CYRUS AUTO INDUSTRIES PVT LTD,14
75,DAKSH INDUSTRIES,"1,476"
76,DASHMESH TRADERS,28
77,DAVE EXIM PVT LTD,104
78,DD AUTO PVT LTD,3
79,DELTA AUTOCORP LLP,482
80,DESMOTO ELECTRICS PVT LTD,1
81,DHAR INTERNATIONAL,74
82,DIAMOND E VEHICLES,71
83,DILLI ELECTRIC AUTO PVT LTD,"5,928"
84,DIVANSU AUTOMOBILES LTD,45
85,DIVYA ENTERPRISES,356
86,DSF INDUSTRIES PVT LTD,5
87,D S INDUSTRIES,25
88,DUKE AUTO INDIA,327
89,DYNAVOLT TECHNOLOGY INDIA LTD,11
90,DYS IMPEX PRIVATE LIMITED,176
91,E-ASHWA AUTOMOTIVE PVT LTD,57
92,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,23
93,ECO SMART VEHICLES PVT LTD,216
94,EDMRC MANNSCHAFT LLP,17
95,EEVEE ENGINEERING PVT LTD,11
96,EFEV CHARGING SOLUTION PVT LTD,8
97,ELECTROTHERM (INDIA) LIMITED,5
98,ELEPHANTA INDUSTRIES PVT LTD,19
99,ELITE AUTO ENGINEERS PVT LTD,198
100,E-MOTION AUTOMOTIVE INDUSTRY LLP,134
101,ENERGY ELECTRIC VEHICLES,"2,769"
102,ENTICE IMPEX PVT LTD,103
103,EPOWER VEHICLES PVT LTD,17
104,E ROYCE MOTORS INDIA PVT LTD,"1,008"
105,ETRIO AUTOMOBILES PVT LTD,67
106,EULER MOTORS PVT LTD,420
107,EUSI MOTORS PVT LTD,259
108,EVAX INDIA,175
109,EVBHARAT RANGE PRIVATE LIMITED,1
110,EVOLUTION AUTOTECH,2
111,EXIDE INDUSTRIES LTD,436
112,EXTRA FAST SOLUTIONS,184
113,EXTREME MOTORS,58
114,FEDE INDUSTRIES PVT LTD,157
115,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,15
116,GANPATI ENTERPRISES,69
117,GAURI AUTO INDIA PVT. LTD,1
118,GAYATRI ELECTRIC VEHICLES,787
119,G & G AUTOMOTIVE,321
120,GKON ELECTRIC MOTOR VEHICLES PVT LTD,370
121,G.K. RICKSHAW,"2,041"
122,G. M. VEHICLE INDUSTRIES,5
123,GODAWARI TECHNO SOLUTIONS PVT LTD,55
124,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,280
125,GOODWILL HI PRECISION WORKS PVT LTD,20
126,GOPAL AUTO MOTORS PVT LTD,443
127,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,44
128,GRD MOTORS,951
129,GREEN EVOLVE PVT LTD,4
130,GREEN IMPEX,46
131,GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,4
132,GREEN SHUTTLE TECHNOLOGY PVT LTD,22
133,GREEN STAR MOTORS,1
134,GREENTECH AUTO LLP,1
135,GREEN TECHNOLOGIES,27
136,GREEN VALLEY MOTORS,8
137,GREENWHEELS AUTOMOBILE PVT LTD,447
138,GURU JI WHEELS,51
139,GURUKIRPA INDUSTRIES,31
140,G WILLIAMS FABRICATIONS LTD,2
141,HARSH TRADING CO,38
142,HIM TEKNOFORGE LTD,197
143,HINDUSTAN MOTOR CORPORATION,564
144,HI-TECH INDUSTRIES,157
145,HITEK ELECTRIC AUTO CO,2
146,HOOGHLY MOTORS PVT LTD,"1,190"
147,HOP MOTORS PVT LTD,66
148,HOTAGE CORPORATION INDIA,"1,537"
149,HOVEL CYLINDER PVT LTD,14
150,HUNDAL INDUSTRIES,418
151,HYKON INDIA LTD,176
152,INDIAN MOTORS,540
153,JADE KOREA SPINE LIFE,9
154,JAIDKA POWER SYSTEMS PVT LTD,340
155,JAIN POWER CORP,24
156,JAISIK BUSINESS LINKS PVT LTD,122
157,JAJODIA COMMODITIES PVT LTD,157
158,JAYDEV ENTERPRISE,20
159,JESSUN TECHNO PVT LTD,92
160,JITENDRA NEW EV-TECH PVT. LTD,41
161,JITENDRA TEMPO PARTS,398
162,JOYRAM STEEL FABRICATION WORKS,1
163,J P AUTO TECH,37
164,J. S. AUTO (P) LTD,"3,130"
165,JS MOBILEON PVT LTD,86
166,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,76
167,KALIKA VAHAN PVT LTD,2
168,KALINGA VENTURES INDIA PVT LTD,67
169,KALPVRIKSH ELECTOMOBILES CO,70
170,KAMAZ INDUSTRIES,18
171,KAPTECH INDIA PVT LTD,523
172,KERALA AUTOMOBILES LIMITED,26
173,KETO MOTORS PVT LTD,56
174,KGN,146
175,KGN INDUSTRIES,7
176,KHALSA AGENCIES,"1,624"
177,KHEMRAJ AUTOMOTIVE INDUSTRIES,2
178,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,"1,011"
179,KIRTI SOLAR LTD,85
180,KLB KOMAKI PVT LTD,5
181,KPT MOTORS,3
182,KRANTI AUTOMOBILES LTD,3
183,KRISHNA ENGINEERING WORKS,325
184,KRISHNA VEHICALS,69
185,K T ENTERPRISES,134
186,KUKU AUTOMOTIVES,172
187,KULKARNI POWER TOOLS LTD,6
188,KUMAR ENGINEERING,491
189,K. V. INDUSTRIES,4
190,LAKSHYA MOTORS,5
191,LAWAT MOTORS LLP,221
192,LAXMI E-RICKSHAW COMPANY,3
193,LECTRIX EV PVT LTD,"2,236"
194,LOHIA AUTO INDUSTRIES,751
195,LORDS VEHICLE MFG PVT LTD,38
196,M2J E VAHAN PVT LTD,34
197,MAA KALPANA ENTERPRISE,10
198,MAA SHAKTI EXIM PVT LTD,"1,427"
199,MAC AUTO INDIA,312
200,MAHI ENTERPRISES,34
201,MAHINDRA & MAHINDRA LIMITED,"5,421"
202,MAHINDRA REVA ELECTRIC VEHICLES PVT LTD,"7,129"
203,MAHTAB BODY MAKER,57
204,MALI ENTERPRISES,73
205,MANISH EV INTERNATIONAL PRIVATE LIMITED,43
206,MANITA CITY MOTORS LLP,413
207,MANMOHAN KAUR,18
208,MARINE NAVAIDS & SOLAR AUTO PVT LTD,8
209,M G INDUSTRIES,25
210,MINI METRO EV L.L.P,"4,814"
211,M.K. ENTERPRISES,250
212,MLR AUTO LTD,5
213,MOHAN GENERAL TRADING COMPANY,19
214,MOTRAC MOTORS PVT LTD,20
215,MOVE STONE SERVICES PVT LTD,138
216,M/S JASRAJ AUTO AGENCY,16
217,M/S SHRIRAM AUTO TECH PVT LTD,746
218,M/S VISHNU CLEAN ENERGY VEHICLES LLP,3
219,MULTI DIMENSIONAL SOLUTIONS,10
220,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,517
221,NABH MOTORS PVT LTD,2
222,NAMAH INDUSTRIES PVT LTD,3
223,NBC ENGINEERING PVT LTD,4
224,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,264
225,NEW ARCANA INDIA,588
226,NEWTON INDIA INDUSTRIES PVT LTD,5
227,NGAGE WHEEL PVT LTD,8
228,NHD MOTORS,147
229,NIBE MOTORS PVT LTD,19
230,NIPUN SANYANTRA PVT LTD,347
231,NIRMAL UTILITY SERVICES PVT LTD,44
232,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,801
233,OGATA MOTORS INDIA PVT LTD,58
234,OK PLAY INDIA LTD,9
235,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,"1,350"
236,OMEGA SALES & AGRO INDUSTRIES,46
237,OMEGA SEIKI PVT LTD,"1,178"
238,OM. INDUSTRIES,1
239,OM PACKAGING,10
240,OM RAJ AUTOTECH LLP,646
241,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,8
242,PACE AGRO PRIVATE LIMITED,14
243,PANTHER ELECTRIC VEHICLES,48
244,PARAS INDUSTRIES,480
245,PARI E-VEHICLES,207
246,PARI METRO E RICKSHAW,354
247,PARVEEN AUTO,1
248,PASHUPATI VEHICLES PVT LTD,1
249,PATS MOTOR CORP,16
250,PIAGGIO VEHICLES PVT LTD,"2,689"
251,PLAUDIT TECHNO INDIA PVT LTD,26
252,PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,9
253,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,4
254,PRAG MOTORS,21
255,PRAKASH ENTERPRISES,35
256,PRIDE E-MOTORS,18
257,PUBANG ETRON ELECTRIC MOTOR PVT LTD,77
258,PUNEET OVERSEAS INC,3
259,PURVA UDYOG PVT LTD,11
260,PYTHOX MOTORS PVT LTD,45
261,R3 ENTERPRISES,75
262,RACCOON MOTORS PVT LTD,8
263,RAHUL AGRO EXPORTS PVT LTD,32
264,RAJ AUTOMOTIVE,64
265,RAJESH STEEL AND WIRE INDUSTRIES,14
266,RAMON INDUSTRIES,31
267,RANA ENGINEER WORKS,7
268,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,15
269,RASIWASIA RASAYAN PVT LTD,6
270,RAYON ENGINEERS,109
271,RCJ AUTO FORGE PVT LTD,114
272,RD AND CO,5
273,REEP INDUSTRIES PVT LTD,111
274,REFLEX CONTROL SYSTEM PVT .LTD,33
275,REPUBLIC MOTORS,88
276,RIBAND ELECTRIC PVT LTD,78
277,RIYA ENTERPRISE,13
278,ROARLEO MOTOR PVT LTD,54
279,RSD SECURITY SOLUTIONS PVT LTD,1
280,RUTBA PRODUCT PVT LTD,245
281,SAERA ELECTRIC AUTO PVT LTD,"8,167"
282,SAHNIANAND E VEHICLES PVT LTD,57
283,SAINIK CYCLE MART,49
284,SAKSHAM TECH AUTOMOBILES,118
285,SAKSHAM TRADING COMPANY,11
286,SAMRAT ELECTRIC VEHICLE,108
287,S AND J INDUSTRIES,83
288,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,598
289,SAURABH ELECTRIC AUTO,23
290,SCOOTERS INDIA LTD,4
291,SEALION AUTOMOBILE PVT LTD,27
292,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,22
293,SETH INDUSTRIAL CORPORATION,82
294,SGLLINE MOTORS PVT LTD,17
295,SHAKTI AUTO GREEN,185
296,SHALYA AUTO SALES PVT LTD,17
297,SHIGAN EVOLTZ LTD,610
298,SHINE METAL UDYOG PVT LTD (UNIT- II),3
299,SHINME ELECTRICAL VEHICLE PVT LTD,83
300,SHIV OM INDIA,24
301,SHREE MARUTI NANDAN BUSINESSS (P) LTD,65
302,SHREYA ENGINEERS,10
303,SHRI BARSANA E-VEHICLES PVT LTD,590
304,SHRI NAMO ELECTRIC AUTOMOTIVE,127
305,SHRIRAJ ELECTRIC VEHICLES,935
306,SHRI SHIVSHANKAR ENTERPRISES,5
307,SINGHAL ENTERPRISES,22
308,SIRF INDIA VEHICLES PVT LTD,4
309,SIWACH STEEL PVT LTD,63
310,SKS TRADE INDIA PVT LTD,"2,705"
311,SKYRIDE AUTOMOTIVE,51
312,SMART ELECTRO MOTORS,32
313,SN SOLAR ENERGY,2
314,SONI E VEHICLE PVT LTD,126
315,SPEEDWAYS ELECTRIC,1
316,SPEEGO VEHICLES CO PVT LTD,"2,011"
317,SRD RENEWABLES,630
318,SSB INDISTRIES,746
319,SSEV ENTERPRISES PRIVATE LIMITED,43
320,S S GLOBAL,8
321,STAR BULL E MOTORS,987
322,STAR IGLOBAL AUTOMOTIVE PVT LTD,29
323,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,3
324,SUMFONL AUTO TRADERS PVT LTD,52
325,SUNULTRA POWER SOLUTIONS PVT LTD,27
326,SUPERECO AUTOMOTIVE CO,22
327,SUPER METRO INDUSTRIES,336
328,SUPERTECH INC,394
329,SUPREME SMART POWER PVT LTD,57
330,SWARNCHAKRA AUTOMOBILES PVT LTD,7
331,SYNDICATE AUTO COMPONENTS,121
332,TAO POWER PRIVATE LIMITED,2
333,TAURUS ELECTRIC VEHICLES,112
334,TEJASGREEN AUTOMOTIVE PVT LTD,27
335,TERRA MOTORS INDIA PVT LTD,"3,529"
336,THE COMMERCIAL MOTORS LIMITED,56
337,THUKRAL ELECTRIC BIKES PVT LTD,"2,945"
338,TOP TEAM MACHINES PVT LTD,662
339,TRINITY ELECTRIC VEHICLES PVT LTD,8
340,TRISHIKA INDUSTRIES,612
341,TSR TRADE COM,8
342,TUFAN MOTORS PVT LTD,201
343,T U K INDUSTRIES,554
344,TWASHTRE AUTOMOTIVE PVT LTD,1
345,TWINKLE TRADCOM PVT LTD,238
346,TWO FRIENDS AUTO ELECTRIC CO,"1,222"
347,UMA AUTO INDUSTRIES PVT. LTD,9
348,UMA MOTORS,122
349,UNIQUE ENTERPRISES,762
350,UNIQUE INTERNATIONAL,"5,088"
351,UNITED TRANSMOVERS PVT LTD,140
352,U.P. TELELINKS LIMITED,726
353,URWASHI ENTERPRISES,56
354,VAHAK FUTURE SOLUTIONS LLP,9
355,VANI ELECTRIC VEHICLES PVT LTD,"2,949"
356,VEANCO AUTOMOTIVES PVT LTD,1
357,VEECTERO E VEHICLES LLP,46
358,VENUS AUTO WHEELS PVT LTD,234
359,VICTORY ELECTRIC INTERNATIONAL,862
360,VIJAYA ELECTRIC AUTO PVT LTD,84
361,VIJAYS COOLMAX PRIVATE LIMITED,514
362,VIJAYSHREE AUTOCOM LIMITED,103
363,VIMAL UNIVERSAL TRADE PVT LTD,132
364,VINCI INDUSTRIAL CORPORATION,6
365,VISHAL ENTERPRISES,26
366,VISHWAKARMA GNG INDUSTRY,2
367,VRINDA ENTERPRISES,118
368,VSL INDUSTRIES,5
369,V.T. ENGINEERING,42
370,V.V.A.AUTO INDUSTRIES PVT.LTD,34
371,WELKIN HEALTHCARE PVT LTD,81
372,XL MOTORS AND ENGINEERING,19
373,XXPLORE AUTOMOTIVE PVT. LIMITED,9
374,XYZ,24
375,YAARI AUTOMOBILES PVT LTD,1
376,YC ELECTRIC VEHICLE,"14,076"
377,YUVRAJ INTERNATIONAL,2
378,ZENIAK INNOVATION INDIA LTD,873
379,ZEOPLUS AXIS INDIA PVT. LTD.,14