S.no,Maker,ELECTRIC(2-Wheeler)
1,ADRIS ELECTRIC PVT LTD,90
2,AFTEK MOTORS INDIA PVT LTD,66
3,ALTIUS EV TECH PVT LTD,5
4,AMO MOBILITY SOLUTIONS PVT LTD,67
5,AMPERE VEHICLES PRIVATE LIMITED,"38,454"
6,ATHER ENERGY PVT LTD,"16,686"
7,AUTOMEX E-MOTORS INDIA PVT LTD,1
8,AYAAN ELECTRONIC PVT LTD,13
9,BAJAJ AUTO LTD,"9,152"
10,BEING INDIA ENERGY AND TECHNOLOGY PVT LTD,"6,642"
11,BLIX CYCLES AND E-VEHICLES PVT LTD,23
12,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,241
13,CHANDANA CORPORATION,240
14,DILLI ELECTRIC AUTO PVT LTD,1
15,ECO FUEL SYSTEMS (I) PVT LTD,445
16,ELECTRECA VEHICLES,59
17,ELTHOR ENERGY PRIVATE LIMITED,516
18,EVTRIC MOTORS PVT LTD,1
19,EXERVAL PVT LTD,69
20,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,6
21,GOREEN E-MOBILITY PVT LTD,"3,305"
22,HERO ELECTRIC VEHICLE PVT LTD,1
23,HERO ELECTRIC VEHICLES PVT. LTD,"50,557"
24,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,30
25,HONGKONG YIXING (IMPORTER: ADMS MARKETING),1
26,HOUSTAN INNOVATION LLP,10
27,IRA EDUTECH PVT LTD,77
28,IVOOMI INNOVATION PVT LTD,10
29,IZANAU ELECTRIC LLP,9
30,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),19
31,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),8
32,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),75
33,JITENDRA NEW EV-TECH PVT. LTD,"4,846"
34,KABIRA MOBILITY LLP,27
35,KLB KOMAKI PVT LTD,"2,058"
36,LECTRIX EV PVT LTD,"1,718"
37,M2GO ELECTRIC VEHICLE PVT LTD,4
38,MAA LUXMI E-VEHICLES PVT. LTD.,8
39,MARUTHISAN PVT LTD,35
40,MEW ELECTRICALS LIMITED,"2,525"
41,MICELIO MOTORS PVT LTD,83
42,MINI METRO EV L.L.P,1
43,NDS ECO MOTORS PVT LTD,20
44,NISIKI TECHNOLOGIES PVT LTD,111
45,ODYSSE ELECTRIC VEHICLES PVT LTD,169
46,OKAYA EV PVT LTD,"1,628"
47,OKINAWA AUTOTECH PVT LTD,"53,296"
48,OLA ELECTRIC TECHNOLOGIES PVT LTD,"45,019"
49,OMJAY EV LIMITED,103
50,PUR ENERGY PVT LTD,"10,283"
51,REVOLT INTELLICORP PVT LTD,"10,256"
52,RGM BUSINESS PLUS PVT LTD,893
53,ROWWET MOBILITY PVT LTD,98
54,SBTEK E MOTO PVT LTD,12
55,SHRI BARSANA E-VEHICLES PVT LTD,1
56,SRIVARU MOTORS PVT LTD,37
57,SUZUKI MOTORCYCLE INDIA PVT LTD,9
58,TORK MOTORS PVT LTD,34
59,TUNWAL E MOTORS PVT LTD,26
60,TVS MOTOR COMPANY LTD,"11,719"
61,TWENTY TWO MOTORS PVT LTD,"1,214"
62,TWO FRIENDS AUTO ELECTRIC CO,1
63,TYST DRIVE INDIA PVT LTD,26
64,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,7
65,WHITE CARBON MOTORS PVT LTD,49
66,WUXI DONGMA (IMPORTER: DYNAM PRECISION),4
67,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),8
68,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),10
69,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),11