S.NO,Maker,ELECTRIC(BUS)
1,AMW MOTORS LIMITED,1
2,ASHOK LEYLAND LTD,130
3,BAJAJ AUTO LTD,1
4,BHARATH INDUSTRIES,1
5,BHEL,14
6,BMW INDIA PVT LTD,1
7,BYD AUTO,1
8,EICHER MOTORS LTD,5
9,"FORCE MOTORS LIMITED, A FIRODIA ENTERPRISE",2
10,GLOBAL AUTOMOBILES PVT LTD,2
11,HERO HONDA MOTORS LTD,1
12,HONDA CARS INDIA LTD,1
13,JBM AUTO LIMITED,483
14,JBM SOLARIS ELECTRIC VEHICLES PVT,31
15,MAHINDRA & MAHINDRA LIMITED,11
16,MAHINDRA VEHICLE MANUFACTURER LIMITED,1
17,MYTRAH MOBILITY PVT LTD,12
18,OLECTRA GREENTECH LTD,673
19,OTHERS,33
20,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,635
21,SHENZHEEN BYD AUTO CO LTD,1
22,SML ISUZU LTD,1
23,SWITCH MOBILITY AUTOMOTIVE LTD,29
24,TATA MOTORS LTD,741
25,VE COMMERCIAL VEHICLES LTD,3
26,VEERA VAHANA UDYOG PRIVATE LIMITED,2